country_code,female,age,educ,inc_q,urbanicity,account_mob,dig_account,anydigpayment,internet_use,wgt,mmpi_2023,reg_index,reg_cons_prot,reg_kyc_prop,reg_entry_lim,reg_max_lim,reg_agent_el,num_providers,earliest_launch
KEN,2,59,2.0,5,1,1,1,1,1,0.969453742907924,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,16,2.0,2,1,1,1,1,1,1.56993001743574,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,30,1.0,4,1,1,1,1,0,1.19930648580086,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,25,3.0,4,1,1,1,1,1,1.16679756721815,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,34,2.0,1,1,1,1,1,1,1.36870502803802,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,45,1.0,5,1,1,1,1,1,0.898635728237926,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,28,2.0,4,1,1,1,1,1,0.723252469708358,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,24,2.0,4,1,1,1,1,1,0.456423392925763,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,44,1.0,4,2,1,1,1,0,0.582894958279592,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,24,2.0,5,1,1,1,1,1,0.646062694403613,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,27,2.0,1,1,1,1,1,1,1.06552317604997,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,17,2.0,3,1,1,1,1,1,1.52523576634616,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,21,1.0,3,2,1,1,1,0,1.03658225034426,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,20,2.0,5,2,1,1,1,1,0.331404980501671,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,23,1.0,1,1,1,1,1,0,2.0126369806705,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,45,2.0,2,1,1,1,1,0,1.02874353353201,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,42,2.0,5,1,1,1,1,1,0.929058233067028,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,78,2.0,3,1,0,0,0,0,2.79771480835033,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,32,2.0,2,1,1,1,1,1,0.506843377712157,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,35,3.0,5,2,1,1,1,1,0.978023905564538,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,20,2.0,3,1,1,1,1,1,1.35758576893698,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,26,2.0,5,2,1,1,1,1,0.530024157109238,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,87,1.0,3,1,1,1,1,0,1.63833090316211,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,52,3.0,5,2,1,1,1,1,1.18949458391081,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,26,1.0,5,1,1,1,1,0,0.648811605208728,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,30,1.0,2,1,1,1,1,0,1.05443178255126,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,23,1.0,4,2,1,1,1,1,0.589455905993401,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,28,3.0,4,1,1,1,1,1,0.492256142182569,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,36,1.0,2,2,1,1,1,0,2.34193474853982,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,18,2.0,3,1,1,1,1,1,0.889469232324232,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,25,1.0,1,1,1,1,1,1,0.964279280583407,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,15,2.0,5,1,1,1,1,1,2.03364768846155,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,26,2.0,3,1,1,1,1,1,0.518535928659962,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,36,1.0,4,1,1,1,1,0,0.78503220251916,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,24,2.0,3,2,1,1,1,1,0.798046316170476,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,30,2.0,3,1,1,1,1,1,2.55350521337812,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,20,1.0,5,1,1,1,1,1,2.28898527730519,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,19,2.0,2,1,1,1,1,1,0.844237478965639,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,23,2.0,4,1,1,1,1,1,1.51739881331792,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,40,2.0,4,2,1,1,1,0,2.07149079773331,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,28,2.0,4,1,1,1,1,0,0.468441490022247,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,22,2.0,5,1,1,1,1,1,0.422118739482819,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,26,2.0,3,1,1,1,1,0,0.936882980044495,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,15,1.0,3,1,0,0,0,1,1.00631849033525,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,16,1.0,1,1,1,1,1,1,1.58773673231178,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,21,2.0,5,1,1,1,1,1,0.331404980501671,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,32,3.0,4,1,1,1,1,1,0.698323126480326,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,26,3.0,5,2,1,1,1,1,0.455638199172472,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,26,3.0,5,1,1,1,1,1,0.530024157109239,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,35,1.0,4,1,1,1,1,1,2.3187955509877,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,21,1.0,5,1,1,1,1,0,0.572246319326298,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,46,1.0,1,1,0,0,0,0,1.82960678394141,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,43,1.0,2,1,1,1,1,0,0.892822287891276,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,25,2.0,2,1,1,1,1,0,0.936809327035199,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,30,2.0,1,1,1,1,1,1,0.649861550462057,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,20,2.0,2,1,1,1,1,1,1.56993001743574,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,2,74,2.0,3,1,1,1,1,0,2.09828610626275,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,60,1.0,2,2,1,1,1,1,2.31114882084657,Very high,88.0,100.0,0,100,100,100,4,2007
KEN,1,19,2.0,4,2,1,1,1,1,1.03529473566856,Very high,88.0,100.0,0,100,100,100,4,2007
