"year","economy","economycode","regionwb","pop_adult","wpid_random","wgt","female","age","educ","inc_q","emp_in","urbanicity","account_fin","account_mob","account","dig_account","borrowed","saved","receive_wages","receive_transfers","receive_pensions","receive_agriculture","merchantpay_dig","pay_utilities","domestic_remittances","anydigpayment","fin2","fin3","fin4","fin5","fin6","fin7","fin8","fin9a","fin9b","fin10","fin11_0","fin11_1","fin11_2","fin11a","fin11b","fin11c","fin11d","fin11e","fin11f","fin13_1","fin13a","fin13b","fin13c","fin13d","fin13e","fin13f","fin13f_1","fin14a","fin14b","fin14c","fin14d","fin14e","fin15","fin16","fin17a","fin17b","fin17c","fin17d","fin17e","fin17f","fin18","fin19","fin20","fin21","fin22a","fin22a_1","fin22b","fin22c","fin22d","fin22e","fin22f","fin22g","fin22h","fin23","fin24","fin24a","fin24b","fin24c","fin24d1","fin24d2","fin24d3","fin25e1","fin25e2","fin25e3","fin25e4","fin26a","fin26b","fin27","fh1","fin28","fh2","fin29","fh2a","fin30","fin31a","fin31b","fin31c","fin31d","fin32","fin33","fin34a","fin34b","fin34c","fin34d","fin35","fin36","fin36a","fin37","fin38","fin39a","fin39b","fin39c","fin39d","fin40","fin41","fin41a","fin42","fin43a","fin43b","fin43c","fin43d","fin44","fin45","internet_use","con1","con2a","con2b","con2c","con2d","con2e","con2f","con2g","con3","con4","con5","con6","con7","con8","con9","con10","con11","con12","con13","con14","con15","con16","con17","con18","con19","con20","con21","con22","con23","con24","con25","con26","con27","con28","con29","con30a","con30b","con30c","con30d","con30e","con30f","con30g","con30h","con31a","con31b","con31c","con31d","con31e","con31f","con31g","con31h","con32"
2024,"Uganda","UGA","Sub-Saharan Africa (excluding high income)",27277834,127548370,0.732805257717627,2,21,2,5,1,1,1,1,1,1,1,1,1,4,4,2,0,4,1,1,2,2,2,2,4,,1,1,1,2,,,,,,,,,,,1,1,1,1,1,2,,,,,,,,,1,1,2,1,1,2,,2,1,2,2,1,1,,2,1,1,,,,1,3,4,1,1,1,1,2,2,,1,2,2,,1,1,1,1,2,2,,,,,1,2,2,1,,,1,2,,2,2,,,,,,,,1,2,2,1,,1,5,1,1,,,,,,,,,,,,,,1,,2,1,,1,,1,2,1,1,2,2,,1,1,,1,1,2,,1,1,1,1,1,1,1,1,,,,,,,,,
2024,"Uganda","UGA","Sub-Saharan Africa (excluding high income)",27277834,144339737,0.479924654876574,1,23,2,1,2,1,0,1,1,1,1,1,4,4,4,4,0,4,3,1,2,,,,,,,,,,,,,,,,,,,1,2,2,3,2,2,2,,,,,,,,,2,2,1,,,,,2,2,,2,2,1,2,2,2,1,,,,2,2,4,2,,,,2,2,,4,2,2,,2,,2,,2,2,,,,,2,,,,,,,,,2,2,,,,,,,,2,,,,,,3,0,1,,,,,,,,,,,,,,2,2,2,1,,1,,1,1,1,1,2,1,2,2,2,2,,,,,,,,,,,,,1,2,2,2,2,2,2,2,1
2024,"Uganda","UGA","Sub-Saharan Africa (excluding high income)",27277834,204364276,2.19661633669443,2,22,1,4,1,2,0,1,1,1,0,1,1,4,4,1,0,1,1,1,2,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,2,,,,,,,,,2,1,2,1,2,2,,2,1,1,2,2,2,,2,2,2,,,2,3,2,3,2,,,,2,2,,4,2,2,,1,1,1,1,1,1,2,1,,,1,2,2,1,,,2,2,,2,2,,,,,,,,1,2,1,,,1,5,1,1,,,,,,,,,,,,,,1,,2,1,,1,,1,1,1,1,2,1,2,2,1,,1,1,1,,1,1,1,1,1,2,2,2,,,,,,,,,
2024,"Uganda","UGA","Sub-Saharan Africa (excluding high income)",27277834,118655872,1.63762855844142,2,24,1,1,1,1,0,0,0,0,1,0,2,4,4,2,0,4,3,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,1,1,2,2,2,,2,,,,2,2,2,,2,,2,,2,2,1,,,1,5,1,3,2,,,,,,,,,,,2,,2,,2,2,,,,,1,2,2,2,1,,,,,2,2,,,,,,,,1,2,2,1,,2,3,0,2,1,2,2,2,2,1,2,1,2,,,,2,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,
2024,"Uganda","UGA","Sub-Saharan Africa (excluding high income)",27277834,130285192,0.326655806273916,2,54,2,5,2,1,1,1,1,1,1,1,1,4,4,2,1,4,1,1,1,1,1,2,2,,2,1,1,1,,,,,,,,,,,2,2,2,1,1,2,,,,,,,,,1,1,2,2,1,2,,2,1,1,1,1,2,,2,2,1,1,1,,5,1,4,1,1,2,1,1,1,2,,1,2,,1,2,1,1,2,2,,,,,1,1,1,2,,,2,2,,2,2,,,,,,,,1,2,2,1,,1,6,0,1,,,,,,,,,,,,,,2,2,1,1,,1,,1,4,2,,1,1,2,1,2,2,,,,,,,,,,,,,1,1,2,1,2,1,1,2,1
2024,"Uganda","UGA","Sub-Saharan Africa (excluding high income)",27277834,163868300,0.209111149824947,2,21,2,5,1,2,0,1,1,1,1,1,2,4,4,4,1,1,1,1,2,,,,,,,,,,,,,,,,,,,2,1,1,1,1,1,2,,,,,,,,,2,1,2,1,2,2,,2,2,,2,2,1,,2,2,2,,,,3,2,4,2,,,,2,1,1,,1,2,,1,1,1,1,1,1,2,1,,,1,2,2,2,1,,,,,2,2,,,,,,,,2,,,,,,5,1,1,,,,,,,,,,,,,,1,,2,1,,1,,1,1,2,,2,1,2,2,1,,1,1,1,,1,1,1,1,1,1,1,2,,,,,,,,,
2024,"Uganda","UGA","Sub-Saharan Africa (excluding high income)",27277834,167983675,0.405392155285921,2,25,2,5,1,2,0,1,1,1,1,1,1,4,4,4,0,4,1,1,2,,,,,,,,,,,,,,,,,,,1,1,2,1,1,2,2,,,,,,,,,2,1,2,1,1,2,,2,2,,2,2,1,,2,1,2,,,,5,3,2,2,,,,2,2,,4,1,1,2,1,2,1,1,2,2,,,,,1,1,2,1,,,1,2,,2,2,,,,,,,,2,,,,,,2,1,1,,,,,,,,,,,,,,1,,1,1,,1,,1,1,1,1,2,1,2,1,1,,1,1,2,,1,1,1,2,1,1,2,1,,,,,,,,,
2024,"Uganda","UGA","Sub-Saharan Africa (excluding high income)",27277834,144303411,2.66769092410573,1,40,1,1,1,1,0,0,0,0,0,0,2,4,4,4,0,2,3,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,2,2,2,2,,2,,,,2,2,2,,2,,2,,2,2,2,,,2,7,,4,1,1,1,,,,,,,,,2,,2,,2,1,2,2,,1,1,2,2,2,1,,,,,2,2,,,,,,,,2,,,,,,3,0,2,1,1,2,1,2,1,2,1,2,,,,1,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,
2024,"Uganda","UGA","Sub-Saharan Africa (excluding high income)",27277834,187530461,0.507946853255977,1,37,1,4,1,1,1,1,1,1,1,1,4,1,4,1,0,1,1,1,2,1,2,2,2,,2,2,1,2,,,,,,,,,,,1,2,1,2,1,1,2,,,,,,,,1,2,2,2,2,2,,2,1,1,2,1,1,,1,1,1,,,,4,2,4,1,1,1,2,2,2,,4,1,2,,1,1,1,1,2,1,1,1,,,2,,,,,,,,,1,2,1,2,,,1,2,,1,2,1,,,2,5,1,1,,,,,,,,,,,,,,1,,1,1,,1,,1,4,1,1,2,1,2,1,1,,2,1,2,,1,1,1,1,2,2,2,2,,,,,,,,,
2024,"Uganda","UGA","Sub-Saharan Africa (excluding high income)",27277834,192883321,0.667871493470918,2,20,2,3,1,1,1,1,1,1,1,1,4,1,4,4,0,1,1,1,2,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,,,,,,,,,2,2,1,,,,,2,1,1,2,1,1,1,2,2,1,,,,2,3,2,1,2,1,2,2,2,,1,1,2,,1,2,1,1,2,1,1,1,,,2,,,,,,,,,1,2,2,1,,,1,2,,2,,,,,,3,0,1,,,,,,,,,,,,,,2,2,2,1,,1,,1,1,2,,2,2,,2,2,2,,,,,,,,,,,,,1,2,2,2,2,2,2,2,1
2024,"Uganda","UGA","Sub-Saharan Africa (excluding high income)",27277834,163784732,0.732805257717628,2,18,1,5,1,1,1,1,1,1,1,1,2,4,4,4,0,4,1,1,2,1,2,1,2,,1,2,2,2,,,,,,,,,,,1,2,2,1,2,2,,,,,,,,,2,1,1,1,2,2,,2,2,,2,2,1,1,1,2,1,,,,1,2,3,2,,,,2,2,,4,2,2,,2,,1,1,2,2,,,,,1,2,2,2,1,,,,,2,2,,,,,,,,2,,,,,,3,1,2,1,2,2,2,2,2,2,1,2,,,,2,,,,,,,,,,,,,,,,1,,2,1,2,,1,1,1,2,1,2,1,2,,,,,,,,,
2024,"Uganda","UGA","Sub-Saharan Africa (excluding high income)",27277834,123751551,0.209111149824947,1,28,2,3,1,1,1,1,1,1,1,1,1,4,4,2,0,4,1,1,2,1,2,2,1,,2,2,1,2,,,,,,,,,,,1,4,1,1,1,2,,,,,,,,,1,2,2,3,2,2,,2,2,,2,2,1,,1,1,1,,,,6,1,4,1,1,1,2,2,2,,4,2,2,,1,1,1,1,2,2,,,,,1,2,1,2,,,1,1,,2,2,,,,,,,,1,2,2,1,,1,2,1,1,,,,,,,,,,,,,,1,,1,1,,1,,1,3,1,1,2,1,2,1,1,,2,1,1,,1,1,1,1,1,2,1,2,,,,,,,,,
2024,"Uganda","UGA","Sub-Saharan Africa (excluding high income)",27277834,191825191,0.209111149824947,2,33,2,5,1,1,0,1,1,1,1,1,4,4,4,4,0,4,1,1,2,,,,,,,,,,,,,,,,,,,2,2,3,3,2,2,2,,,,,,,,,2,1,2,3,2,2,,2,1,1,2,2,1,,2,1,2,,,,3,3,3,2,,,,2,2,,4,2,1,2,1,1,1,1,2,2,,,,,2,,,,,,,,,2,2,,,,,,,,2,,,,,,2,1,1,,,,,,,,,,,,,,1,,1,1,,1,,1,1,1,1,2,2,,2,1,,1,1,2,,1,1,1,1,2,2,2,2,,,,,,,,,
2024,"Uganda","UGA","Sub-Saharan Africa (excluding high income)",27277834,172288118,1.05906724298282,1,48,1,2,1,1,0,0,0,0,1,1,4,2,4,2,0,4,3,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,,,,,2,2,,2,2,1,1,1,2,1,,,,3,1,2,1,1,1,1,2,2,,4,2,2,,2,,2,,2,2,,,,,2,,,,,,,,,1,2,2,2,1,,,,,1,2,2,1,,2,3,0,1,,,,,,,,,,,,,,2,2,1,2,,2,,,2,2,,2,2,,2,2,2,,,,,,,,,,,,,1,2,2,1,2,2,2,2,4
2024,"Uganda","UGA","Sub-Saharan Africa (excluding high income)",27277834,158069716,2.6853490476605,1,18,1,1,1,1,0,1,1,1,1,1,4,4,4,2,0,4,3,1,2,,,,,,,,,,,,,,,,,,,2,4,2,3,2,1,2,,,,,,,,,2,2,2,,,,1,2,2,,2,2,2,,1,2,2,,,2,2,2,2,1,1,2,2,2,2,,4,2,2,,2,,2,,2,2,,,,,2,,,,,,,,,2,2,,,,,,,,1,2,2,1,,1,3,0,1,,,,,,,,,,,,,,2,2,2,1,,2,,,2,2,,2,2,,2,2,2,,,,,,,,,,,,,1,2,2,2,2,2,2,2,1
2024,"Uganda","UGA","Sub-Saharan Africa (excluding high income)",27277834,116980431,1.80690733930363,2,45,2,2,1,1,0,1,1,1,1,1,4,1,4,2,0,4,1,1,2,,,,,,,,,,,,,,,,,,,2,3,3,3,1,1,2,,,,,,,,,2,1,2,3,2,2,,2,2,,2,2,2,,2,2,1,,,2,5,2,3,2,,,,2,2,,4,2,2,,1,1,2,,2,2,,,,,2,,,,,,,,,1,2,2,1,,,1,2,,1,2,2,1,,2,4,0,1,,,,,,,,,,,,,,2,2,1,1,,1,,1,2,2,,2,1,2,2,2,2,,,,,,,,,,,,,1,2,2,2,2,2,2,2,1
2024,"Uganda","UGA","Sub-Saharan Africa (excluding high income)",27277834,158432711,0.836444599133166,2,22,2,5,1,2,0,1,1,1,1,1,2,4,4,4,0,4,1,1,2,,,,,,,,,,,,,,,,,,,2,1,2,2,1,2,2,,,,,,,,,2,1,2,1,1,2,,2,1,1,2,2,1,,2,2,2,,,,3,2,4,2,,,,2,2,,4,2,2,,1,1,2,,2,2,,,,,1,2,2,2,1,,,,,2,2,,,,,,,,2,,,,,,3,1,1,,,,,,,,,,,,,,1,,2,1,,1,,1,1,1,1,2,1,2,2,1,,1,1,3,,1,1,1,1,1,1,1,2,,,,,,,,,
2024,"Uganda","UGA","Sub-Saharan Africa (excluding high income)",27277834,129151290,2.02011413111287,1,18,2,5,2,2,0,1,1,1,1,1,4,4,4,4,0,4,1,1,2,,,,,,,,,,,,,,,,,,,2,3,3,3,2,1,1,2,,,,,,,,2,2,2,,,,1,2,1,2,2,2,1,,2,1,1,,,,2,1,2,2,,,,2,2,,2,2,2,,1,2,1,1,2,2,,,,,2,,,,,,,,,2,2,,,,,,,,2,,,,,,5,1,1,,,,,,,,,,,,,,1,,2,1,,1,,1,1,1,1,1,1,2,2,1,,1,1,1,,1,1,1,1,1,1,2,1,,,,,,,,,
2024,"Uganda","UGA","Sub-Saharan Africa (excluding high income)",27277834,201263240,1.42793533528056,1,43,2,4,1,1,0,1,1,1,1,1,4,4,4,4,0,1,3,1,2,,,,,,,,,,,,,,,,,,,2,3,3,3,1,2,2,,,,,,,,,2,2,1,,,,,2,2,,1,2,2,2,2,1,1,,,,4,2,2,2,,,,2,2,,4,1,2,,2,,2,,1,1,2,1,,,2,,,,,,,,,2,2,,,,,,,,2,,,,,,5,1,1,,,,,,,,,,,,,,1,,1,1,,1,,1,2,1,1,2,1,2,2,1,,4,1,4,,1,1,1,1,1,2,1,2,,,,,,,,,
2024,"Uganda","UGA","Sub-Saharan Africa (excluding high income)",27277834,143116161,0.532463006027405,1,18,2,1,2,1,0,1,1,1,1,1,4,4,4,4,1,1,3,1,2,,,,,,,,,,,,,,,,,,,1,2,2,1,1,1,1,2,,,,,,,,2,1,1,2,2,2,,2,1,1,2,1,2,2,1,2,2,,,,2,2,2,2,,,,2,1,2,,2,2,,2,,2,,2,1,2,1,,,2,,,,,,,,,2,2,,,,,,,,2,,,,,,5,1,1,,,,,,,,,,,,,,1,,2,1,,1,,1,2,1,1,2,1,2,2,1,,2,1,2,,1,2,1,1,1,2,2,2,,,,,,,,,
2024,"Uganda","UGA","Sub-Saharan Africa (excluding high income)",27277834,123565187,0.605634388734275,2,23,1,5,1,1,1,1,1,1,1,1,1,4,4,1,0,1,1,1,2,,,,,,,,,,,,,,,,,,,1,1,2,2,1,1,2,,,,,,,,,2,1,1,1,2,2,,2,1,1,2,1,1,1,1,1,1,,,,3,2,1,2,,,,3,2,,4,1,2,,1,1,1,1,2,1,2,1,,,1,2,2,1,,,1,2,,2,2,,,,,,,,1,1,1,,,1,2,1,1,,,,,,,,,,,,,,1,,2,1,,1,,1,2,1,1,2,1,2,1,1,,1,1,1,,1,1,1,1,1,1,2,2,,,,,,,,,
2024,"Uganda","UGA","Sub-Saharan Africa (excluding high income)",27277834,209493431,1.55640769448019,2,37,1,4,1,1,0,1,1,1,1,0,1,4,4,4,0,1,3,1,2,,,,,,,,,,,,,,,,,,,1,3,3,3,2,1,2,,,,,,,,,2,2,2,,,,2,2,2,,2,2,1,,1,1,1,,,,4,1,3,2,,,,2,2,,2,1,2,,2,,2,,2,1,2,1,,,1,2,2,1,,,1,1,,2,2,,,,,,,,2,,,,,,5,0,1,,,,,,,,,,,,,,2,2,2,1,,2,,,2,1,8,2,1,2,1,2,2,,,,,,,,,,,,,1,1,2,2,2,2,2,2,1
2024,"Uganda","UGA","Sub-Saharan Africa (excluding high income)",27277834,126424706,1.68010917149267,2,17,2,4,2,2,0,0,0,0,1,0,4,4,4,4,0,4,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,2,1,2,2,,2,,,,2,2,2,,2,,1,,2,2,2,,,,2,1,1,2,,,,,,,,,,,2,,1,2,2,2,,,,,2,,,,,,,,,2,2,,,,,,,,2,,,,,,5,0,2,1,2,2,2,1,2,2,1,1,2,2,1,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,
2024,"Uganda","UGA","Sub-Saharan Africa (excluding high income)",27277834,206657438,0.503033995673677,1,40,1,4,1,1,0,1,1,1,0,1,4,4,4,4,0,4,3,1,2,,,,,,,,,,,,,,,,,,,1,3,3,3,1,2,2,,,,,,,,,2,1,2,3,2,2,,2,2,,2,2,2,,2,2,2,,,2,2,3,2,2,,,,2,2,,4,2,2,,2,,2,,2,2,,,,,2,,,,,,,,,2,2,,,,,,,,2,,,,,,4,0,1,,,,,,,,,,,,,,2,2,1,1,,1,,1,2,2,,2,2,,2,2,2,,,,,,,,,,,,,2,2,2,2,2,2,2,1,8
2024,"Uganda","UGA","Sub-Saharan Africa (excluding high income)",27277834,170757585,0.707770208747617,2,38,2,4,1,1,1,1,1,1,1,1,1,1,4,2,0,4,1,1,1,1,1,3,4,1,1,1,1,2,,,,,,,,,,,2,2,2,1,2,2,,,,,,,,,2,1,1,1,1,2,,2,2,,1,2,1,2,1,2,1,,,,2,3,2,2,,,,2,2,,2,2,2,,1,1,1,1,2,2,,,,,1,2,2,1,,,2,2,,1,2,2,1,,,2,2,,1,2,2,1,,1,5,1,1,,,,,,,,,,,,,,1,,1,1,,1,,1,1,1,1,2,1,2,1,2,1,3,1,2,,2,1,2,2,2,2,2,2,,,,,,,,,
2024,"Uganda","UGA","Sub-Saharan Africa (excluding high income)",27277834,143613642,1.34598882406001,2,48,2,4,1,2,0,1,1,1,1,1,4,4,4,1,0,4,1,1,2,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,1,,,,,,,,2,1,2,3,2,1,,2,1,1,2,1,2,,2,2,2,,,,5,2,4,2,,,,2,2,,4,2,2,,2,,1,1,2,2,,,,,2,,,,,,,,,2,2,,,,,,,,1,2,1,,,2,5,0,1,,,,,,,,,,,,,,2,2,1,1,,1,,1,2,2,,2,2,,2,2,2,,,,,,,,,,,,,1,2,2,2,2,2,2,1,8
2024,"Uganda","UGA","Sub-Saharan Africa (excluding high income)",27277834,112125267,0.57711149384356,2,43,1,5,1,1,1,1,1,1,1,1,4,1,4,2,0,1,1,1,2,1,1,2,2,,1,1,1,2,,,,,,,,,,,3,1,2,1,1,1,2,,,,,,,,1,1,1,2,1,2,,2,2,,1,2,1,1,2,1,2,,,,2,3,3,1,1,1,2,2,2,,1,2,2,,2,,1,1,1,1,2,1,,,2,,,,,,,,,1,2,1,1,,,2,2,,1,2,2,1,,1,6,0,1,,,,,,,,,,,,,,2,2,1,1,,2,,,2,2,,2,1,2,1,2,2,,,,,,,,,,,,,1,2,2,1,2,2,2,1,8
2024,"Uganda","UGA","Sub-Saharan Africa (excluding high income)",27277834,114442741,0.959849309753148,1,24,1,2,1,1,0,1,1,1,1,1,1,4,4,1,0,4,2,1,2,,,,,,,,,,,,,,,,,,,2,2,2,1,1,1,2,,,,,,,,,2,2,2,,,,1,2,2,,2,2,1,,2,2,2,,,,5,1,2,1,1,1,1,1,2,,2,2,2,,2,,1,2,2,2,,,,,1,2,2,1,,,2,2,,2,2,,,,,,,,1,2,1,,,2,5,0,1,,,,,,,,,,,,,,2,2,2,1,,1,,2,1,1,1,2,1,2,2,2,2,,,,,,,,,,,,,1,1,2,2,2,1,2,2,1
2024,"Uganda","UGA","Sub-Saharan Africa (excluding high income)",27277834,126392797,0.836444599133166,2,19,2,2,1,1,1,1,1,1,1,1,4,1,4,4,0,1,2,1,2,,,,,,,,,,,,,,,,,,,1,2,2,2,1,2,2,,,,,,,,,2,1,2,1,2,2,,2,2,,2,2,1,,2,2,2,,,,1,1,2,2,,,,2,2,,2,1,2,,1,2,2,,1,1,1,1,,,2,,,,,,,,,1,2,2,1,,,1,2,,2,,,,,,3,1,1,,,,,,,,,,,,,,1,,1,2,,1,,1,1,1,1,2,2,,2,1,,2,1,2,,1,1,1,1,1,1,1,1,,,,,,,,,
