Model,Accuracy,Precision,Recall,F1,ROC_AUC
Expert_KEN,0.8844221105527639,0.9057591623036649,0.9719101123595506,0.9376693766937669,0.7528089887640451
Pooled,0.76,0.8170731707317073,0.881578947368421,0.8481012658227848,0.8106115984405456
Harmonized,0.7583333333333333,0.811623246492986,0.8881578947368421,0.8481675392670157,0.8132157651072125
MoE_Router,0.7516666666666667,0.8139059304703476,0.8728070175438597,0.8423280423280424,0.7292275828460039
Expert_UGA,0.7268518518518519,0.807909604519774,0.8511904761904762,0.8289855072463768,0.7140376984126984
Expert_TZA,0.6324324324324324,0.675,0.7363636363636363,0.7043478260869566,0.7207272727272728
