feature,importance
dig_account,0.3586012927407945
anydigpayment,0.32843910804575666
wgt,0.08195900944638713
age,0.08047106032378416
inc_q,0.0506725559420667
internet_use,0.04220453698571295
educ,0.0343233611854135
female,0.014076242371418898
urbanicity,0.009252832958665535
country_code,0.0
mmpi_2023,0.0
reg_index,0.0
reg_cons_prot,0.0
reg_kyc_prop,0.0
reg_entry_lim,0.0
reg_max_lim,0.0
reg_agent_el,0.0
num_providers,0.0
earliest_launch,0.0
